payer_name,trans_number,acct_number,fac_id,acct_type,acct_name,post_date,amount,description,type,text
,71006486,2710072,1511,Checking,ONTARIO GROVE HEALTHCARE & WELLNESS,2021-07-08,25678.46,AUTO TRANSFER CREDIT,,TRANSFER FROM     DEPOSIT SYSTEM    ACCOUNT                   0002419808
,71006486,2710072,1511,Checking,ONTARIO GROVE HEALTHCARE & WELLNESS,2021-07-09,80301.9,AUTO TRANSFER CREDIT,,TRANSFER FROM     DEPOSIT SYSTEM    ACCOUNT                   0002419808
,71006486,2710072,1511,Checking,ONTARIO GROVE HEALTHCARE & WELLNESS,2021-07-16,953.78,AUTO TRANSFER CREDIT,,TRANSFER FROM     DEPOSIT SYSTEM    ACCOUNT                   0002419808
,71006486,2710072,1511,Checking,ONTARIO GROVE HEALTHCARE & WELLNESS,2021-07-20,150.32,AUTO TRANSFER CREDIT,,TRANSFER FROM     DEPOSIT SYSTEM    ACCOUNT                   0002419808
,71006486,2710072,1511,Checking,ONTARIO GROVE HEALTHCARE & WELLNESS,2021-07-22,23171.93,AUTO TRANSFER CREDIT,,TRANSFER FROM     DEPOSIT SYSTEM    ACCOUNT                   0002419808
,71006486,2710072,1511,Checking,ONTARIO GROVE HEALTHCARE & WELLNESS,2021-07-23,83946.08,AUTO TRANSFER CREDIT,,TRANSFER FROM     DEPOSIT SYSTEM    ACCOUNT                   0002419808
,71006486,2710072,1511,Checking,ONTARIO GROVE HEALTHCARE & WELLNESS,2021-07-26,154.2,AUTO TRANSFER CREDIT,,TRANSFER FROM     DEPOSIT SYSTEM    ACCOUNT                   0002419808
,71006486,2710072,1511,Checking,ONTARIO GROVE HEALTHCARE & WELLNESS,2021-07-29,4764.8,AUTO TRANSFER CREDIT,,TRANSFER FROM     DEPOSIT SYSTEM    ACCOUNT                   0002419808
,71006486,2710072,1511,Checking,ONTARIO GROVE HEALTHCARE & WELLNESS,2021-08-09,30929.26,AUTO TRANSFER CREDIT,,TRANSFER FROM     DEPOSIT SYSTEM    ACCOUNT                   0002419808
,71006486,2710072,1511,Checking,ONTARIO GROVE HEALTHCARE & WELLNESS,2021-08-10,84130.35,AUTO TRANSFER CREDIT,,TRANSFER FROM     DEPOSIT SYSTEM    ACCOUNT                   0002419808
,71006486,2710072,1511,Checking,ONTARIO GROVE HEALTHCARE & WELLNESS,2021-08-17,150.32,AUTO TRANSFER CREDIT,,TRANSFER FROM     DEPOSIT SYSTEM    ACCOUNT                   0002419808
,71006486,2710072,1511,Checking,ONTARIO GROVE HEALTHCARE & WELLNESS,2021-08-19,165.96,AUTO TRANSFER CREDIT,,TRANSFER FROM     DEPOSIT SYSTEM    ACCOUNT                   0002419808
,71006486,2710072,1511,Checking,ONTARIO GROVE HEALTHCARE & WELLNESS,2021-08-24,29972.04,AUTO TRANSFER CREDIT,,TRANSFER FROM     DEPOSIT SYSTEM    ACCOUNT                   0002419808
,71006486,2710072,1511,Checking,ONTARIO GROVE HEALTHCARE & WELLNESS,2021-08-25,78035.33,AUTO TRANSFER CREDIT,,TRANSFER FROM     DEPOSIT SYSTEM    ACCOUNT                   0002419808
,71006486,2710072,1511,Checking,ONTARIO GROVE HEALTHCARE & WELLNESS,2021-09-09,25126.79,AUTO TRANSFER CREDIT,,TRANSFER FROM     DEPOSIT SYSTEM    ACCOUNT                   0002419808
,71006486,2710072,1511,Checking,ONTARIO GROVE HEALTHCARE & WELLNESS,2021-09-10,83544.41,AUTO TRANSFER CREDIT,,TRANSFER FROM     DEPOSIT SYSTEM    ACCOUNT                   0002419808
,71006486,2710072,1511,Checking,ONTARIO GROVE HEALTHCARE & WELLNESS,2021-09-15,7743.9,AUTO TRANSFER CREDIT,,TRANSFER FROM     DEPOSIT SYSTEM    ACCOUNT                   0002419808
,71006486,2710072,1511,Checking,ONTARIO GROVE HEALTHCARE & WELLNESS,2021-09-17,161.48,AUTO TRANSFER CREDIT,,TRANSFER FROM     DEPOSIT SYSTEM    ACCOUNT                   0002419808
,71006486,2710072,1511,Checking,ONTARIO GROVE HEALTHCARE & WELLNESS,2021-09-21,148.88,AUTO TRANSFER CREDIT,,TRANSFER FROM     DEPOSIT SYSTEM    ACCOUNT                   0002419808
,71006486,2710072,1511,Checking,ONTARIO GROVE HEALTHCARE & WELLNESS,2021-09-23,23361.86,AUTO TRANSFER CREDIT,,TRANSFER FROM     DEPOSIT SYSTEM    ACCOUNT                   0002419808
,71006486,2710072,1511,Checking,ONTARIO GROVE HEALTHCARE & WELLNESS,2021-09-24,80905.45,AUTO TRANSFER CREDIT,,TRANSFER FROM     DEPOSIT SYSTEM    ACCOUNT                   0002419808
,71006486,2710072,1511,Checking,ONTARIO GROVE HEALTHCARE & WELLNESS,2021-09-30,6069.73,AUTO TRANSFER CREDIT,,TRANSFER FROM     DEPOSIT SYSTEM    ACCOUNT                   0002419808
Blue_Shield,71006486,2450314,1517,Checking,PAVILLION ON PICO HC & WELLNESS CENTRE,2021-07-01,1471.35,ACH CREDIT,Ach,BSC Promise       HCCLAIMPMT        202106291750002100*1954468482~
